>0.5	>0.25	>0.075	>0.005	<0.005	w	e	a0.1-0.2
0	0	5	84	10.9	8.9	0.652	0.16
0	0	2.4	86.7	10.9	21.3	0.59	0.13
0	0	1	84	15	21.6	0.652	0.2
0	0	5	82	13	22.2	0.635	0.17
0	0	3	83	14	23.1	0.8	0.19
0	2	7	78	13	26.3	0.788	0.16
0	0	0	86	14	23.1	0.664	0.18
0	0	0	85	15	23.6	0.679	0.17
0	0	2	84	14	23.1	0.681	0.2
0	0	0	85	15	23	0.663	0.19
0	0	0	84	16	21	0.58	0.23
0	0	4	82	14	20.1	0.553	0.2
0	0	6	79	15	23.7	0.698	0.14
0	0	5	82	13	17.4	0.533	0.16
0	0	3	84	13	22.9	0.653	0.18
0	0	0	85	15	19.1	0.626	0.19
0	2	9	76	13	19.9	0.591	0.16
0	0	0	86	14	23.1	0.725	0.17
0	0	0	84	16	25.4	0.775	0.21
0	0	0	84	16	23	0.671	0.17
0	0	1	15	0	17.3	0.608	0.22
0	0	3	13	0	21	0.675	0.16
0	0	2	16	0	19.3	0.595	0.23
0	0	20	10	0	19.7	0.594	0.21
0	0	18	10	0	15.3	0.677	0.16
0	0	4.2	0	11.2	20.9	0.632	0.28
0	0	4.4	0	10.3	18.4	0.683	0.15
0	0	2.9	0	14.7	13.9	0.567	0.14
0	0	2.6	0	13.7	16.8	0.64	0.2
0	0	2.1	0	16.3	19.2	0.568	0.25
0	0	2	0	15.9	21.1	0.674	0.2
0	0	6.3	0	9.7	18.2	0.534	0.15
0	0	2.9	0	14.7	21.1	0.641	0.18
0	0	4.1	0	11.9	19.9	0.643	0.18
0	0	4.2	0	9.9	19.3	0.611	0.19
0	0	2.6	0	16.9	17.9	0.59	0.19
0	0	1.5	0	18.5	17.3	0.647	0.15
0	0	8.7	77.1	14.2	20.4	0.687	0.17
0	0	5.2	79.8	15	20.3	0.66	0.24
0	0	3.5	80.7	15.8	19.6	0.684	0.2
0	0	5.6	80.9	13.5	20	0.69	0.21
0	0	4.2	81	14.8	20.5	0.706	0.22
0	0	7.2	79.3	13.5	20.6	0.726	0.24
0	0	5.2	80.9	13.9	22.5	0.741	0.25
0	0	4.2	80.7	15.1	18.9	0.651	0.14
0	0	5	81.1	13.9	21.3	0.607	0.16
0	0	3.3	82	14.7	20.7	0.689	0.25
0	0	2.8	82.4	14.8	20.3	0.692	0.23
0	0	6.5	80.2	13.3	18.8	0.682	0.2
0	0	4.5	81.2	14.3	21.5	0.693	0.21
0	0	4.3	80.4	15.3	18.7	0.674	0.15
0	0	5.4	80.1	14.5	21.9	0.732	0.22
0	0	4.6	79.9	15.5	23.2	0.68	0.24
0	0	6	82	12	16.3	0.791	0.16
0	0	10	79	11	17.8	0.625	0.14
0	0	0	85	15	22.2	0.686	0.2
0	0	7	80	13	21.8	0.674	0.25
0	0	11	80	9	24.2	0.707	0.1
0	0	7	81	12	20.1	0.609	0.17
0	0	9	80	11	20.3	0.62	0.13
0	0	0	84	16	19.8	0.687	0.2
0	0	5	82	13	19.5	0.609	0.18
0	0	0	84	16	21.2	0.681	0.22
0	0	0	86	14	20.7	0.736	0.18
0	0	0	85	15	26.3	0.665	0.2
0	0	0	84	16	16.3	0.519	0.18
0	0	0	83	17	20.2	0.625	0.19
0	0	3	83	14	19	0.625	0.19
0	9	20	62	9	21.8	0.653	0.18
0	6	17	67	10	21.6	0.648	0.17
0	0	0	82	18	25.2	0.716	0.21
0	0	6	81	13	23.8	0.676	0.18
0	0	0	85	15	20.6	0.583	0.14
0	15	26	52	7	15.2	0.54	0.09
0	0	7	80	13	19.2	0.589	0.13
0	0	0	86	14	16.1	0.538	0.12
0	0	5	81	14	19	0.587	0.09
0	0	0	85	15	19.9	0.581	0.11
0	0	0	83	17	14.1	0.505	0.14
0	0	0	85	15	23.6	0.63	0.19
0	0	7	12	0	21.7	0.805	0.29
0	0	5	13	0	28	0.8	0.18
0	0	4	12	0	15.1	0.708	0.22
0	0	2	14	0	18.7	0.627	0.48
0	0	14	10	0	23.2	0.665	0.12
0	0	22	11	0	10.4	0.747	0.17
0	0	3	12	0	16.6	0.759	0.1
0	0	8	0	16	18.5	0.678	0.09
0	0	12	0	8	7.3	0.855	0.05
0	0	5	0	10	10.5	0.791	0.14
0	0	7	0	14	16	0.568	0.14
0	0	9	0	8	10.3	0.661	0.1
0	0	10	0	9	8.3	0.814	0.15
0	0	8	0	11	11.4	0.712	0.1
0	0	9	0	7	10.2	0.659	0.07
0	0	0	82	18	18.9	0.64	0.18
0	0	0	83	17	18.6	0.645	0.21
0	0	0	82	18	20.5	0.654	0.17
0	0	0	81	19	21.2	0.647	0.18
0	0	0	86	14	18.9	0.64	0.19
0	0	0	81	19	18.2	0.631	0.18
0	0	0	81	19	19.9	0.646	0.17
0	6	15	69	10	20.4	0.63	0.17
0	0	0	81	19	21.5	0.668	0.19
0	0	0	86	14	18.6	0.636	0.17
0	0	0	84	16	19.3	0.637	0.19
0	0	2	85	13	20.4	0.723	0.17
0	0	7	80	13	14	0.756	0.22
0	0	6	80	14	25.9	0.746	0.24
0	6	15	70	9	18.6	0.611	0.17
0	0	0	87	13	21.5	0.61	0.17
0	0	6	80	14	20.9	0.626	0.18
0	5	16	69	10	20.7	0.569	0.21
0	0	6	80	14	16.5	0.748	0.21
0	0	2	84	14	20.3	0.579	0.21
0	6	15	70	9	16.3	0.741	0.23
0	0	0	84	16	18.1	0.604	0.19
0	0	0	86	14	17.8	1.037	0.26
0	0	0	85	15	21.3	0.654	0.19
0	0	3	84	13	20	0.614	0.18
0	0	7	80	13	19.1	0.629	0.22
0	0	0	84	16	19.8	0.611	0.17
0	0	10	76	14	19.7	0.713	0.19
0	0	0	82	18	19.7	0.704	0.21
0	0	0	83	17	21.6	0.596	0.19
0	0	0	84	16	19.1	0.618	0.23
0	0	2	84	14	19.4	0.614	0.24
0	0	5	81	14	20.8	0.593	0.13
0	0	0	83	17	19.9	0.566	0.15
0	0	6	80	14	22.7	0.634	0.18
0	0	0	84	16	23.1	0.623	0.21
0	0	3	83	14	20.8	0.641	0.18
0	0	6	81	13	16.4	0.535	0.16
0	0	0	85	15	21.4	0.585	0.17
0	0	0	84	16	18.1	0.604	0.19
0	2.3	11	71	15.7	13.5	0.761	0.12
0	2.5	10	73	14.5	11.1	0.744	0.16
0	3	12.8	71	13.2	15.4	0.509	0.11
0	2.3	11.5	72.3	13.9	16.8	0.617	0.11
0	0	0	0	14	19.3	0.579	0.15
0	0	0	0	17	24.1	0.752	0.29
0	0	0	0	12	22.8	0.675	0.15
0	0	0	0	13	17.1	0.589	0.16
0	0	0	0	12	20	0.604	0.18
0	0	0	0	16	25.6	0.766	0.12
0	0	0	0	14	18.7	0.705	0.19
0	0	0	0	13	20.8	0.599	0.15
0	0	0	0	14	26.7	0.782	0.18
0	0	0	0	14	21.2	0.62	0.18
0	0	0	0	15	21.4	0.647	0.32
0	0	0	0	15	22.2	0.617	0.14
0	0	3	81	16	16.2	0.645	0.17
0	0	2	83	15	14.3	0.577	0.14
0	0	0	82	18	17.4	0.628	0.16
0	0	7	80	13	13.5	0.789	0.23
0	0	0	84	16	16	0.651	0.18
0	0	0	87	13	18.7	0.663	0.17
0	0	0	86	14	20.5	0.752	0.2
0	0	0	83	17	18.6	0.645	0.18
0	0	0	84	16	22.7	0.675	0.15
0	0	0	85	15	18.7	0.637	0.15
0	0	0	86	14	17.2	0.659	0.16
0	0	2	85	13	18.5	0.696	0.17
0	0	0	85	15	13.7	0.593	0.14
0	0	0	84	16	19.9	0.629	0.16
0	0	0	86	14	22.7	0.701	0.21
0	0	0	82	18	19.9	0.605	0.17
0	0	0	83	17	19.6	0.65	0.16
0	0	0	84	16	19.9	0.654	0.15
0	0	3	84	13	22.5	0.719	0.23
0	0	0	81	19	23.1	0.689	0.19
0	0	0	86	14	18.8	0.59	0.14
0	0	0	83	17	14.6	0.842	0.16
0	0	0	80	20	17.7	0.591	0.14
0	0	0	84	16	17.5	0.635	0.16
0	0	0	85	15	18.9	0.64	0.18
0	0	0	81	19	19.5	0.615	0.17
0	4	10	74	12	18.8	0.676	0.13
0	0	0	85	15	16.3	0.613	0.19
0	0	0	83	17	16.8	0.654	0.16
0	0	0	87	13	17.4	0.671	0.18
0	0	0	85	15	19	0.703	0.21
0	0	0	84	16	18.6	0.662	0.16
0	0	2	85	13	16.6	0.642	0.16
0	0	2	85	13	18	0.767	0.2
0	0	0	85	15	18.1	0.573	0.13
0	0	0	83	17	13.2	0.62	0.17
0	0	3	84	13	18.8	0.622	0.19
0	0	0	86	14	19.1	0.618	0.16
0	0	0	85	15	14.5	0.63	0.15
0	0	0	81	19	13.9	0.656	0.14
0	0	0	86	14	17.3	0.635	0.17
0	0	0	82	18	18.5	0.618	0.18
0	0	4	83	13	11.4	0.703	0.11
0	0	4	83	13	19.7	0.677	0.12
0	0	0	84	16	25.3	0.644	0.17
0	0	4	83	13	12	0.665	0.11
0	2	9	79	10	14.5	0.698	0.12
0	0	0	85	15	13	0.643	0.14
0	4	12	74	10	14.1	0.817	0.11
0	0	5	81	14	16.9	0.646	0.15
0	2	11	78	9	8.4	0.818	0.15
0	0	0	84	16	24.9	0.688	0.22
0	0	0	85	15	22.9	0.597	0.15
0	0	9	81	10	23.1	0.621	0.22
0	0	10	81	9	23.9	0.673	0.24
0	0	0	84	16	22.9	0.589	0.11
0	0	1	0	15	17.3	0.608	0.22
0	0	3	0	13	21	0.675	0.16
0	0	2	0	16	19.3	0.595	0.23
0	0	20	0	10	19.7	0.594	0.21
0	0	18	0	10	15.3	0.677	0.16
0	0	7	0	12	21.7	0.805	0.29
0	0	5	0	13	28	0.8	0.18
0	0	4	0	12	15.1	0.708	0.22
0	0	2	0	14	18.7	0.627	0.48
0	0	14	0	10	23.2	0.665	0.12
0	0	22	0	11	10.4	0.747	0.17
0	0	3	0	12	16.6	0.729	0.1
0	0	2.9	78.9	11.4	20.1	0.671	0.37
0	0	3.6	76	11.1	10.6	0.623	0.18
0	0	2	78.7	12.9	20.6	0.626	0.18
0	0	3.7	76.3	12.7	19.9	0.779	0.19
0	0	2.3	76.5	14.2	21.2	0.626	0.24
0	0	3.8	0	11.7	22.1	0.735	0.21
0	0	7.8	0	10	12.4	0.581	0.25
0	0	1.4	0	15.8	22.3	0.641	0.25
